HourUTC,HourDK,PriceArea,Version,FuelAllocationMethod,ReportGrpCode,ProductionType,DeliveryType,Production_MWh,ShareTotal,ShareGrid,FuelConsumptionGJ,CO2PerkWh,CO2originPerkWh,SO2PerkWh,NOxPerkWh,NMvocPerkWh,CH4PerkWh,COPerkWh,N2OPerkWh,SlagPerkWh,FlyAshPerkWh,ParticlesPerkWh,WastePerkWh,DesulpPerkWh
2024-09-24T23:00:00,2024-09-25T01:00:00,DK1,Preliminary,Total,R01-1,BioGas,Grid,43.00424,1.3028,1.3028,404.384913,0.0,770.13626,183.047583,1824.396822,90.581568,3894.215603,2796.80908,14.398116,0.0,0.0,24.243253,0.0,0.0
2024-09-24T23:00:00,2024-09-25T01:00:00,DK1,Preliminary,Total,R01-2,Straw,Grid,6.623174,0.200647,0.200647,108.100807,0.0,1632.160074,799.758436,2040.200093,12.730849,7.671152,1093.54725,17.953761,14.722084,6.365424,37.539682,0.0,0.0
2024-09-24T23:00:00,2024-09-25T01:00:00,DK1,Preliminary,Total,R01-3,Wood,Grid,67.492943,2.044677,2.044677,812.690765,0.0,1245.052027,25.35367,415.992836,107.628825,39.476572,1124.506555,10.503416,10.861092,4.696038,54.201115,0.0,0.0
2024-09-24T23:00:00,2024-09-25T01:00:00,DK1,Preliminary,Total,R04x,FossilGas,Grid,8.844888,0.267953,0.267953,15.927926,101.619542,101.619542,0.805112,123.795507,46.858233,235.505223,37.333841,1.587316,0.0,0.0,0.501498,0.0,0.0
2024-09-24T23:00:00,2024-09-25T01:00:00,DK1,Preliminary,Total,R05x,Coal,Grid,82.346748,2.494669,2.494669,908.977442,1043.240449,1043.240449,110.384134,187.653027,11.038413,9.934572,110.384134,8.830731,8.543732,49.639745,33.11524,0.0,18.047806
2024-09-24T23:00:00,2024-09-25T01:00:00,DK1,Preliminary,Total,R06x,Fossil Oil,Grid,3.543443,0.107347,0.107347,41.543985,923.651604,923.651604,1136.266357,1608.948053,9.388622,9.781718,167.15374,6.922463,0.0,0.0,40.59501,0.0,0.0
2024-09-24T23:00:00,2024-09-25T01:00:00,DK1,Preliminary,Total,R17,Waste,Grid,41.390202,1.253903,1.253903,881.415101,905.048547,2165.727934,176.750657,1746.211314,11.925346,7.240388,83.051514,25.554312,366.789557,0.0,6.175625,55.559333,0.0
2024-09-24T22:00:00,2024-09-25T00:00:00,DK1,Preliminary,125%,R01-1,BioGas,Grid,43.366915,1.561079,1.561079,247.381609,0.0,467.189192,110.386735,1126.410045,55.854162,2411.311148,1727.612512,8.903949,0.0,0.0,14.83449,0.0,0.0
2024-09-24T22:00:00,2024-09-25T00:00:00,DK1,Preliminary,125%,R01-2,Straw,Grid,7.068426,0.254442,0.254442,59.461482,0.0,841.226648,412.201058,1051.533311,6.561568,3.953765,563.621854,9.253493,7.587864,3.280784,19.348213,0.0,0.0
2024-09-24T22:00:00,2024-09-25T00:00:00,DK1,Preliminary,125%,R01-3,Wood,Grid,72.211793,2.599407,2.599407,571.599477,0.0,818.472765,15.752107,268.351522,53.671626,25.156871,724.147798,6.583017,7.139869,3.087083,21.384477,0.0,0.0
