Forecast_HourDK,Forecast_MWh
2024-09-25 01:00:00,0.270143
2024-09-25 02:00:00,0.221855
2024-09-25 03:00:00,0.212118
2024-09-25 04:00:00,0.196636
2024-09-25 05:00:00,0.178582
2024-09-25 06:00:00,0.221869
2024-09-25 07:00:00,0.299928
2024-09-25 08:00:00,9.887081
2024-09-25 09:00:00,69.542
2024-09-25 10:00:00,161.266614
2024-09-25 11:00:00,336.896855
2024-09-25 12:00:00,513.631119
2024-09-25 13:00:00,717.473837
2024-09-25 14:00:00,770.722231
2024-09-25 15:00:00,654.891071
2024-09-25 16:00:00,597.546513
2024-09-25 17:00:00,486.571631
2024-09-25 18:00:00,284.647558
2024-09-25 19:00:00,96.920541
2024-09-25 20:00:00,3.448549
2024-09-25 21:00:00,0.477691
2024-09-25 22:00:00,0.348948
2024-09-25 23:00:00,0.264583
