Forecast_HourDK,Forecast_MWh
2025-01-30 01:00:00,0.160155
2025-01-30 02:00:00,0.180489
2025-01-30 03:00:00,0.133714
2025-01-30 04:00:00,0.127221
2025-01-30 05:00:00,0.15235
2025-01-30 06:00:00,0.203194
2025-01-30 07:00:00,0.355003
2025-01-30 08:00:00,0.426805
2025-01-30 09:00:00,5.957085
2025-01-30 10:00:00,61.769
2025-01-30 11:00:00,158.176
2025-01-30 12:00:00,222.40099999999998
2025-01-30 13:00:00,225.73899999999998
2025-01-30 14:00:00,167.25
2025-01-30 15:00:00,99.596
2025-01-30 16:00:00,32.877
2025-01-30 17:00:00,3.55
2025-01-30 18:00:00,0.574846
2025-01-30 19:00:00,0.47822
2025-01-30 20:00:00,0.333274
2025-01-30 21:00:00,0.272534
2025-01-30 22:00:00,0.222132
2025-01-30 23:00:00,0.217331
