Forecast_HourDK,Forecast_MWh
2025-02-20 01:00:00,0.937003
2025-02-20 02:00:00,1.205834
2025-02-20 03:00:00,1.287893
2025-02-20 04:00:00,0.881857
2025-02-20 05:00:00,1.293933
2025-02-20 06:00:00,2.553967
2025-02-20 07:00:00,3.606088
2025-02-20 08:00:00,9.863156
2025-02-20 09:00:00,195.736324
2025-02-20 10:00:00,639.652654
2025-02-20 11:00:00,1112.406696
2025-02-20 12:00:00,1431.147
2025-02-20 13:00:00,1564.27
2025-02-20 14:00:00,1525.437604
2025-02-20 15:00:00,1229.913
2025-02-20 16:00:00,884.417046
2025-02-20 17:00:00,336.868365
2025-02-20 18:00:00,21.538958
2025-02-20 19:00:00,5.144219
2025-02-20 20:00:00,4.932138
2025-02-20 21:00:00,2.754642
2025-02-20 22:00:00,2.752017
2025-02-20 23:00:00,2.656884
