Forecast_HourDK,Forecast_MWh
2025-01-15 01:00:00,0.26815
2025-01-15 02:00:00,0.260926
2025-01-15 03:00:00,0.229143
2025-01-15 04:00:00,0.213886
2025-01-15 05:00:00,0.2434
2025-01-15 06:00:00,0.264827
2025-01-15 07:00:00,0.340209
2025-01-15 08:00:00,0.675243
2025-01-15 09:00:00,0.718961
2025-01-15 10:00:00,6.473725
2025-01-15 11:00:00,32.764842
2025-01-15 12:00:00,61.528056
2025-01-15 13:00:00,89.119654
2025-01-15 14:00:00,126.603123
2025-01-15 15:00:00,124.232972
2025-01-15 16:00:00,44.430292
2025-01-15 17:00:00,1.812704
2025-01-15 18:00:00,0.672782
2025-01-15 19:00:00,0.481548
2025-01-15 20:00:00,0.357689
2025-01-15 21:00:00,0.314149
2025-01-15 22:00:00,0.240048
2025-01-15 23:00:00,0.206727
