Forecast_HourDK,Forecast_MWh
2025-07-30 01:00:00,8.787493
2025-07-30 02:00:00,7.876321
2025-07-30 03:00:00,7.757316
2025-07-30 04:00:00,10.090393
2025-07-30 05:00:00,10.619784
2025-07-30 06:00:00,24.417498
2025-07-30 07:00:00,143.679577
2025-07-30 08:00:00,491.565091
2025-07-30 09:00:00,962.405771
2025-07-30 10:00:00,1267.564
2025-07-30 11:00:00,1632.105
2025-07-30 12:00:00,1886.663
2025-07-30 13:00:00,2046.947
2025-07-30 14:00:00,2012.462
2025-07-30 15:00:00,1909.409
2025-07-30 16:00:00,1769.412
2025-07-30 17:00:00,1444.192
2025-07-30 18:00:00,1117.752
2025-07-30 19:00:00,743.481526
2025-07-30 20:00:00,368.367907
2025-07-30 21:00:00,94.078511
2025-07-30 22:00:00,11.856166
2025-07-30 23:00:00,8.381205
