Forecast_HourDK,Forecast_MWh
2025-03-17 01:00:00,6.206425
2025-03-17 02:00:00,6.226942
2025-03-17 03:00:00,6.270218
2025-03-17 04:00:00,6.585602
2025-03-17 05:00:00,6.713967
2025-03-17 06:00:00,7.849308
2025-03-17 07:00:00,14.88349
2025-03-17 08:00:00,157.183825
2025-03-17 09:00:00,433.489642
2025-03-17 10:00:00,833.840823
2025-03-17 11:00:00,1162.71625
2025-03-17 12:00:00,1309.073706
2025-03-17 13:00:00,1297.338
2025-03-17 14:00:00,1246.865
2025-03-17 15:00:00,1230.474692
2025-03-17 16:00:00,1046.411824
2025-03-17 17:00:00,676.4619
2025-03-17 18:00:00,252.427603
2025-03-17 19:00:00,22.899848
2025-03-17 20:00:00,7.609509
2025-03-17 21:00:00,5.488185
2025-03-17 22:00:00,6.802837
2025-03-17 23:00:00,5.319564
