Forecast_HourDK,Forecast_MWh
2025-02-10 01:00:00,2.352427
2025-02-10 02:00:00,2.044322
2025-02-10 03:00:00,2.343435
2025-02-10 04:00:00,2.349964
2025-02-10 05:00:00,1.94953
2025-02-10 06:00:00,1.962094
2025-02-10 07:00:00,2.630641
2025-02-10 08:00:00,3.66037
2025-02-10 09:00:00,16.210603
2025-02-10 10:00:00,66.83596
2025-02-10 11:00:00,116.085
2025-02-10 12:00:00,166.395
2025-02-10 13:00:00,183.938
2025-02-10 14:00:00,167.536
2025-02-10 15:00:00,126.46705
2025-02-10 16:00:00,82.941337
2025-02-10 17:00:00,22.346448
2025-02-10 18:00:00,4.881526
2025-02-10 19:00:00,4.521891
2025-02-10 20:00:00,3.807516
2025-02-10 21:00:00,4.643855
2025-02-10 22:00:00,5.390662
2025-02-10 23:00:00,5.276523
