Forecast_HourDK,Forecast_MWh
2024-12-25 01:00:00,0.150036
2024-12-25 02:00:00,0.172174
2024-12-25 03:00:00,0.173386
2024-12-25 04:00:00,0.157316
2024-12-25 05:00:00,0.181141
2024-12-25 06:00:00,0.210591
2024-12-25 07:00:00,0.28919
2024-12-25 08:00:00,0.29915
2024-12-25 09:00:00,1.339017
2024-12-25 10:00:00,44.639392
2024-12-25 11:00:00,90.151
2024-12-25 12:00:00,111.771618
2024-12-25 13:00:00,148.704921
2024-12-25 14:00:00,110.61
2024-12-25 15:00:00,55.310637
2024-12-25 16:00:00,8.861583
2024-12-25 17:00:00,0.325948
2024-12-25 18:00:00,0.568406
2024-12-25 19:00:00,0.40407
2024-12-25 20:00:00,0.291679
2024-12-25 21:00:00,0.246168
2024-12-25 22:00:00,0.211687
2024-12-25 23:00:00,0.183424
