Forecast_HourDK,Forecast_MWh
2025-01-07 01:00:00,0.243969
2025-01-07 02:00:00,0.252683
2025-01-07 03:00:00,0.202537
2025-01-07 04:00:00,0.207213
2025-01-07 05:00:00,0.228139
2025-01-07 06:00:00,0.297492
2025-01-07 07:00:00,0.364477
2025-01-07 08:00:00,0.445651
2025-01-07 09:00:00,0.482365
2025-01-07 10:00:00,5.97111
2025-01-07 11:00:00,28.358438
2025-01-07 12:00:00,52.061411
2025-01-07 13:00:00,68.013917
2025-01-07 14:00:00,57.426425
2025-01-07 15:00:00,25.878415
2025-01-07 16:00:00,4.944646
2025-01-07 17:00:00,0.554594
2025-01-07 18:00:00,0.619302
2025-01-07 19:00:00,0.582394
2025-01-07 20:00:00,0.509781
2025-01-07 21:00:00,0.357301
2025-01-07 22:00:00,0.300902
2025-01-07 23:00:00,0.303385
