Forecast_HourDK,Forecast_MWh
2025-01-06 01:00:00,0.126001
2025-01-06 02:00:00,0.152799
2025-01-06 03:00:00,0.157926
2025-01-06 04:00:00,0.159115
2025-01-06 05:00:00,0.145261
2025-01-06 06:00:00,0.175984
2025-01-06 07:00:00,0.239339
2025-01-06 08:00:00,0.2513
2025-01-06 09:00:00,0.271612
2025-01-06 10:00:00,5.591068
2025-01-06 11:00:00,21.798487
2025-01-06 12:00:00,40.347586
2025-01-06 13:00:00,45.60431
2025-01-06 14:00:00,45.598006
2025-01-06 15:00:00,33.191329
2025-01-06 16:00:00,8.099585
2025-01-06 17:00:00,0.283116
2025-01-06 18:00:00,0.461733
2025-01-06 19:00:00,0.372269
2025-01-06 20:00:00,0.292888
2025-01-06 21:00:00,0.338165
2025-01-06 22:00:00,0.274442
2025-01-06 23:00:00,0.305164
